grade,Unit,Deutsch,Spanisch
12,Unidad 1,Hallo,¡Hola!
12,Unidad 1,Wie geht’s?,¿Qué tal?
12,Unidad 1,Guten Morgen,¡Buenos días!
12,Unidad 1,Guten Tag,Buenas tardes
12,Unidad 1,Gute Nacht,¡Buenas noches!
12,Unidad 1,ich heiße …,Me llamo …
12,Unidad 1,und,y
12,Unidad 1,ich bin,soy
12,Unidad 1,von / aus,de
12,Unidad 1,ich bin aus …,soy de …
12,Unidad 1,du,tú
12,Unidad 1,Wie … ?,¿Cómo … ?
12,Unidad 1,Wie heißt du?,¿Cómo te llamas?
12,Unidad 1,ich,yo
12,Unidad 1,auch,también
12,Unidad 1,Schüler(in) / Student(in),el/la estudiante
12,Unidad 1,Lehrer(in),el profesor / la profesora
12,Unidad 1,Spanisch,el español
12,Unidad 1,aber,pero
12,Unidad 1,ich lebe / wohne,vivo
12,Unidad 1,in / auf,en
12,Unidad 1,Wo … ?,¿Dónde … ?
12,Unidad 1,Woher bist du?,¿De dónde eres?
12,Unidad 1,sehr,muy
12,Unidad 1,gut,bien
12,Unidad 1,Danke,Gracias
12,Unidad 1,auf Deutsch,en alemán
12,Unidad 1,man sagt …,se dice …
12,Unidad 1,Guten Abend,Buenas tardes
12,Unidad 1,Gute Nacht,¡Buenas noches!
12,Unidad 1,Wie geht es dir?,¿Cómo estás?
12,Unidad 1,sehr gut,muy bien
12,Unidad 1,Wo lebst du?,¿Dónde vives?
12,Unidad 1,der Dialog,el diálogo
12,Unidad 1,das Foto,la foto
12,Unidad 1,Frau,señora
12,Unidad 1,Herr,señor
12,Unidad 1,Sie (Anrede),usted / ustedes
12,Unidad 1,Wie geht es Ihnen?,¿Cómo está usted?
12,Unidad 1,ja,sí
12,Unidad 1,gut,bueno
12,Unidad 1,so so,así así
12,Unidad 1,viel Stress,mucho estrés
12,Unidad 1,also,pues
12,Unidad 1,Toll!,¡Ánimo!
12,Unidad 1,Bis später!,¡Hasta luego!
12,Unidad 1,Tschüss,¡Adiós!
12,Unidad 1,O.K.,Vale
12,Unidad 1,der Kuss,el beso
12,Unidad 1,Bis bald!,¡Hasta pronto!
12,Unidad 1,Bis zum nächsten Mal,¡Hasta la próxima!
12,Unidad 1,super,genial
12,Unidad 1,schlecht,mal
12,Unidad 1,sehr schlecht,fatal
12,Unidad 1,der Platz,la plaza
12,Unidad 1,das Stadion,el estadio
12,Unidad 1,die Tapas,la tapa
12,Unidad 1,die U-Bahn,el metro
12,Unidad 1,das Museum,el museo
12,Unidad 1,der Park,el parque
12,Unidad 1,die Straße,la calle
12,Unidad 1,der Junge,el chico
12,Unidad 1,das Mädchen,la chica
12,Unidad 1,das Problem,el problema
12,Unidad 1,der Freund / die Freundin,el amigo / la amiga
12,Unidad 1,das Telefon,el teléfono
12,Unidad 1,der Strand,la playa
